sample_idx/template_idx,template_0,template_1,template_2,template_3,template_4,template_5,template_6,template_7,template_8,template_9
sample_0,0.499351,0.050068,0.297806,0.120116,0.200129,0.137905,0.074450,0.016872,0.231233,-0.006617
sample_1,0.530709,0.063281,0.174643,0.104269,0.215602,0.120175,0.060172,0.074190,0.104858,0.100479
sample_2,0.539292,0.075908,0.280244,0.004022,0.146876,0.205119,0.042757,0.037528,-0.008302,0.036097
sample_3,0.556399,0.076716,0.243738,0.130944,0.108801,0.238596,0.100978,0.066749,0.031125,0.052628
sample_4,0.522990,0.029830,0.148693,0.091419,0.302645,0.159480,0.128194,0.116796,0.185916,-0.000369
sample_5,0.136578,0.436685,0.031159,0.120372,0.161537,0.017092,0.085128,0.047446,0.205957,0.100493
sample_6,0.094741,0.330658,0.022865,0.023536,0.061308,-0.003023,0.198861,0.012441,-0.012317,0.147330
sample_7,0.107074,0.117446,0.352574,-0.047209,0.062283,0.153257,0.144317,0.127211,0.118397,0.046459
sample_8,0.135895,0.018534,0.073018,0.469389,0.193865,0.045268,0.052493,0.104337,0.065781,0.065887
sample_9,0.228049,-0.059296,0.089201,0.623115,0.190645,0.117123,0.060695,0.160610,-0.009765,0.149061
sample_10,0.096916,-0.008820,0.060428,0.158263,0.326876,0.053260,0.129027,0.085912,0.020457,0.100002
sample_11,0.057205,-0.071140,0.232233,0.081999,-0.067233,0.437111,0.048186,0.065644,0.102996,0.106735
sample_12,0.038678,-0.025832,0.132396,0.020065,0.002973,0.263035,0.072620,-0.000893,0.132835,0.150318
sample_13,0.133342,-0.012677,0.212931,0.094783,0.007729,0.196404,0.056650,0.043979,0.172355,0.121008
sample_14,0.104358,0.097686,0.039853,0.073681,0.006406,0.226128,0.577047,-0.019411,0.062220,0.087307
sample_15,0.061748,0.044550,0.133522,-0.116719,0.088774,0.074481,0.018868,0.309429,0.218503,-0.057968
sample_16,0.101572,0.110837,0.096006,0.153404,0.035216,0.002123,0.046823,0.127065,0.305685,0.139181
sample_17,0.126911,0.068766,0.057604,0.058179,0.033156,0.040251,0.113806,0.034352,0.273292,0.106553
sample_18,0.196649,0.089725,0.148039,0.171976,0.235181,-0.036466,0.139529,0.006307,0.222782,0.380209
sample_19,0.007484,0.073484,0.171888,0.129160,0.081269,-0.015520,0.164224,-0.013172,0.114565,0.708468
