sample_idx/template_idx,template_0,template_1,template_2,template_3,template_4,template_5,template_6,template_7,template_8,template_9,template_10,template_11,template_12,template_13,template_14,template_15,template_16,template_17,template_18,template_19
sample_0,0.571732,0.086852,0.009710,0.062767,0.197920,0.094686,0.023910,0.218019,0.058435,0.059071,0.112391,0.005095,0.133689,0.026856,0.219195,0.126189,0.064812,0.107818,0.117314,0.202938
sample_1,0.076542,0.229159,0.093063,0.110218,0.073335,0.189770,0.152414,0.052659,0.076182,-0.006928,0.118411,-0.037839,0.004055,0.197243,0.101421,0.159431,0.054140,0.149692,0.122404,0.046494
sample_2,0.182688,0.405075,0.143832,0.224056,0.232213,0.233892,0.086570,0.179215,0.079291,0.031952,0.117480,0.079945,0.116948,0.089978,0.106813,0.211290,0.137584,0.155533,0.096840,0.161570
sample_3,0.085703,0.307435,0.068675,0.053808,0.113243,0.154853,0.103035,0.110701,0.137784,0.055452,0.134612,0.108029,0.153911,0.110292,0.050812,0.278757,-0.002955,0.046325,0.233790,0.067732
sample_4,0.130760,0.173083,0.033070,0.052499,0.109061,0.137317,0.091547,0.024577,0.054797,0.164841,0.231901,0.012524,0.031263,0.207146,-0.054096,-0.032289,-0.028198,-0.048827,0.034897,0.083360
sample_5,0.110832,0.092228,0.152915,0.034251,0.201061,0.189820,0.110141,0.115833,0.098651,0.147802,0.021029,0.115074,0.100834,0.102158,0.033582,-0.001211,0.072631,0.151839,0.082666,0.041984
sample_6,0.153925,0.202643,0.232849,0.100418,0.198424,0.316894,0.147890,0.105079,0.158774,0.140485,0.189150,0.042942,0.092611,0.255447,0.054176,0.049242,0.097728,0.170829,0.068527,0.003497
sample_7,0.084344,0.212101,0.076326,0.134757,0.227928,0.259820,0.146666,0.033123,0.086027,0.028011,0.157489,0.041019,0.074363,0.251117,0.058307,-0.031201,0.050511,0.068325,0.034295,0.048777
sample_8,0.080517,0.245216,0.146932,0.053178,0.196107,0.318884,0.176218,0.077672,0.051352,0.018477,0.070060,0.128341,0.108170,0.150944,0.045498,0.085916,0.112242,0.101344,0.047849,0.044233
sample_9,0.049951,0.362379,0.115049,0.130363,0.183419,0.313844,0.153117,0.089719,-0.010071,0.051017,-0.001302,0.127143,0.085226,0.063152,0.017140,0.021922,0.038248,0.108393,0.066462,-0.065911
sample_10,0.091070,0.342763,0.170161,0.099222,0.138530,0.276353,0.236806,0.072394,-0.018450,0.035716,0.037002,0.076962,0.039564,0.121554,0.029885,0.008632,0.109352,0.045121,0.080984,0.062367
sample_11,0.065392,0.269588,0.104316,0.045618,0.080968,0.193172,0.163319,0.059487,-0.057273,0.012144,0.024913,0.046559,0.084407,0.103409,0.022477,0.014506,0.102349,0.060967,-0.010008,0.030539
sample_12,0.104363,0.452431,0.182522,0.304564,0.141158,0.244941,0.102971,-0.010000,0.019801,-0.042224,0.042358,0.120346,0.100933,0.115456,0.023269,0.043296,0.144214,0.132421,0.149748,0.027879
sample_13,0.034190,0.316166,0.118241,0.142455,0.063983,0.127707,0.135208,0.117490,0.025245,0.039895,0.077877,0.070791,0.102374,0.132985,0.028324,-0.046907,0.136614,0.195989,0.146590,0.063652
sample_14,0.080761,0.389324,0.158190,0.260575,0.136419,0.152120,0.107271,0.062537,-0.004759,0.008186,0.043243,0.126724,0.045227,0.014311,0.085378,0.142227,0.062246,0.054313,0.065646,0.118900
