sample_idx,rank_1,rank_2,rank_3,rank_4,rank_5,rank_6,rank_7,rank_8,rank_9,rank_10
sample_0,0,14,7,19,4,12,15,18,10,17
sample_1,1,13,5,15,6,17,18,10,3,14
sample_2,1,5,4,3,15,0,7,19,17,2
sample_3,1,15,18,5,12,8,10,4,7,13
sample_4,10,13,1,9,5,0,4,6,19,8
sample_5,4,5,2,17,9,7,11,0,6,13
sample_6,5,13,2,1,4,10,17,8,0,6
sample_7,5,13,4,1,10,6,3,8,0,2
sample_8,5,1,4,6,13,2,11,16,12,17
sample_9,1,5,4,6,3,11,2,17,7,12
sample_10,1,5,6,2,4,13,16,3,0,18
sample_11,1,5,6,2,13,16,12,4,0,17
sample_12,1,3,5,2,18,16,4,17,11,13
sample_13,1,17,18,3,16,6,13,5,2,7
sample_14,1,3,2,5,15,4,11,19,6,14
sample_15,1,3,4,5,0,19,13,11,14,10
sample_16,5,1,4,3,13,0,10,19,9,8
sample_17,1,15,3,2,18,5,10,8,13,7
sample_18,1,2,15,3,5,18,4,6,12,7
sample_19,5,4,13,1,8,0,10,2,17,7
sample_20,1,15,5,6,2,3,4,0,12,19
sample_21,15,1,2,6,13,5,18,8,17,7
sample_22,3,1,2,14,7,8,19,0,18,17
sample_23,3,14,4,19,1,0,7,17,5,8
sample_24,3,1,7,4,14,19,2,17,0,15
sample_25,3,1,4,14,6,5,16,11,0,2
sample_26,3,0,4,7,19,1,10,14,8,15
sample_27,3,15,1,7,2,14,4,19,18,16
sample_28,3,4,8,0,7,19,10,1,5,2
sample_29,3,1,12,2,15,7,18,0,6,14
sample_30,3,1,4,2,15,5,12,16,0,11
sample_31,3,1,5,6,4,9,16,15,14,8
sample_32,3,1,4,2,17,11,14,16,5,0
sample_33,3,1,4,15,12,2,5,0,16,19
sample_34,3,2,0,1,4,6,19,7,12,9
sample_35,3,1,19,18,7,0,15,4,8,2
sample_36,3,1,2,14,17,19,0,11,4,6
sample_37,3,1,19,18,11,2,0,6,17,14
sample_38,11,18,1,14,17,13,7,19,8,10
sample_39,8,10,13,4,17,11,18,2,0,15
sample_40,13,11,10,7,18,14,8,1,4,0
sample_41,5,1,15,6,2,0,4,8,13,7
sample_42,13,8,5,4,10,0,18,7,1,19
sample_43,15,5,1,7,4,2,8,10,14,3
sample_44,1,15,5,8,6,18,3,2,13,10
sample_45,6,12,2,16,13,9,8,15,17,1
sample_46,7,0,14,19,4,10,8,3,11,1
sample_47,7,0,14,4,10,3,8,19,13,11
sample_48,7,14,17,18,8,0,4,19,13,3
sample_49,7,0,8,18,4,13,11,10,14,3
sample_50,7,0,9,8,4,14,10,3,19,11
sample_51,7,18,14,16,11,19,17,1,4,0
sample_52,7,0,8,6,9,3,14,12,1,19
sample_53,7,0,4,8,18,19,16,14,12,9
sample_54,7,0,14,17,11,4,18,13,19,1
sample_55,7,0,14,13,4,10,8,9,3,5
sample_56,0,7,14,4,8,19,10,13,15,9
sample_57,14,7,3,0,11,9,13,19,8,17
sample_58,14,7,18,11,3,17,0,1,10,8
sample_59,7,14,0,16,18,19,11,3,9,8
sample_60,7,18,14,11,0,1,3,8,17,19
sample_61,7,14,0,19,4,8,11,15,16,18
sample_62,14,7,3,9,0,17,6,15,19,8
sample_63,7,0,3,11,19,12,14,9,18,16
sample_64,7,14,16,3,17,0,18,12,4,19
sample_65,7,0,8,10,19,4,3,9,13,14
sample_66,7,0,4,14,3,10,9,8,11,1
sample_67,7,0,8,19,4,14,18,3,13,1
sample_68,7,0,9,14,11,16,3,6,4,19
sample_69,14,7,3,0,11,18,13,1,17,8
sample_70,14,7,18,17,8,11,13,6,5,1
sample_71,8,13,10,1,19,15,7,18,11,6
sample_72,18,15,8,11,17,2,5,13,6,7
sample_73,10,8,13,0,19,5,4,7,11,17
sample_74,10,15,14,3,12,19,1,13,6,4
sample_75,14,1,2,10,11,16,19,17,0,4
sample_76,10,4,0,8,9,13,15,19,5,12
sample_77,10,16,15,11,6,4,12,19,8,9
sample_78,14,7,18,17,11,1,19,16,13,6
sample_79,11,16,7,0,14,6,17,18,19,10
sample_80,12,10,6,0,19,13,2,15,11,18
sample_81,12,18,13,0,10,6,4,2,8,17
sample_82,10,12,13,8,0,18,11,6,4,7
sample_83,12,4,2,17,0,5,16,18,3,13
sample_84,12,2,18,17,16,4,0,6,11,15
sample_85,2,12,17,18,11,19,1,16,6,10
sample_86,12,2,15,1,3,5,18,14,10,6
sample_87,12,4,0,8,10,15,13,5,2,19
sample_88,12,2,4,6,17,16,0,13,14,18
sample_89,10,12,18,6,0,19,8,1,13,11
sample_90,2,0,4,17,8,10,13,3,16,11
sample_91,4,0,5,12,18,1,7,3,8,10
sample_92,12,18,8,10,19,13,2,6,0,11
sample_93,12,4,17,0,14,7,5,2,18,19
sample_94,12,18,2,4,15,0,5,1,8,10
sample_95,12,15,18,10,14,6,5,1,7,13
sample_96,12,18,2,17,11,7,19,15,16,6
sample_97,8,18,13,17,16,7,12,14,6,15
sample_98,12,18,17,2,7,6,16,8,11,19
sample_99,12,18,1,13,0,8,10,6,19,11
sample_100,12,11,2,18,17,6,10,8,13,7
sample_101,12,6,17,2,1,18,13,11,14,5
sample_102,12,18,15,2,1,5,14,6,0,7
sample_103,14,11,1,18,7,13,19,17,16,8
sample_104,12,15,18,1,6,5,10,2,0,3
sample_105,13,5,10,4,8,11,17,12,18,7
sample_106,13,8,10,7,5,4,18,0,9,17
sample_107,13,5,17,18,8,7,1,3,11,12
sample_108,13,8,5,17,14,19,10,0,4,18
sample_109,14,19,17,0,4,7,8,18,13,16
sample_110,14,17,4,13,7,1,11,8,5,19
sample_111,14,0,17,7,15,5,19,4,12,1
sample_112,14,4,17,13,5,7,1,3,11,0
sample_113,14,18,7,8,13,11,16,17,1,3
sample_114,14,11,17,7,6,1,3,18,15,8
sample_115,14,17,0,8,7,10,19,2,18,4
sample_116,15,4,13,1,8,11,18,0,3,7
sample_117,10,13,11,1,8,0,5,17,19,3
sample_118,17,8,18,10,7,1,14,0,15,4
sample_119,18,12,17,11,15,13,10,0,2,1
sample_120,18,17,12,1,7,16,2,15,8,13
sample_121,18,0,11,13,12,3,14,2,17,19
sample_122,18,0,7,10,12,11,13,17,14,19
sample_123,17,11,18,2,14,15,8,13,6,1
sample_124,18,10,0,7,8,13,12,15,1,5
sample_125,18,12,7,0,1,11,17,16,10,13
sample_126,18,14,1,7,15,5,19,13,17,12
sample_127,8,13,10,0,4,5,15,7,17,18
sample_128,18,12,19,11,0,17,13,1,16,8
sample_129,18,1,0,13,3,7,12,19,8,11
sample_130,18,7,14,19,1,13,17,6,12,16
sample_131,18,11,17,10,12,13,0,8,19,14
sample_132,18,14,13,1,8,19,7,11,15,10
sample_133,18,0,7,5,12,8,19,13,14,4
sample_134,18,12,1,0,7,13,15,5,17,11
sample_135,18,17,11,14,1,13,12,2,10,5
sample_136,18,15,16,17,14,13,0,5,12,2
sample_137,18,0,12,14,13,17,10,7,2,11
sample_138,18,0,13,14,12,17,8,1,7,2
sample_139,18,13,17,11,1,12,10,5,0,19
sample_140,18,14,1,17,5,7,15,11,19,10
sample_141,18,8,13,10,7,0,12,15,17,1
sample_142,18,0,7,19,4,15,13,12,1,5
sample_143,18,17,12,10,2,11,3,6,1,13
sample_144,18,11,17,10,13,1,12,0,14,16
sample_145,18,8,17,13,7,10,0,15,12,5
sample_146,18,17,7,0,8,15,13,16,10,12
sample_147,18,13,0,14,1,10,2,17,5,19
sample_148,18,13,8,10,17,0,5,4,7,12
sample_149,18,12,17,7,2,15,0,16,11,13
sample_150,18,17,13,1,8,7,10,12,11,6
sample_151,18,17,8,10,15,13,12,11,7,14
sample_152,18,17,7,12,8,1,13,16,15,10
sample_153,14,18,17,4,11,1,0,7,13,2
sample_154,18,12,13,15,7,17,10,8,0,1
sample_155,18,1,7,12,17,13,14,5,15,8
sample_156,18,12,0,14,17,11,19,15,13,2
sample_157,18,17,1,12,14,5,13,15,7,10
sample_158,13,8,0,18,10,4,17,7,5,14
sample_159,18,17,7,12,1,19,16,13,11,14
sample_160,18,12,17,7,8,13,3,15,11,0
